name_x,id,episode_id,season_number,episode_number,air_date,name_y,overview,vote_average,vote_count
Star Trek,253,13955,1,1,1966-09-08,The Man Trap,Kirk and his crew are at deadly risk from an alien creature that feeds on the salt in a human body and can take on any form.,6.94,50
Star Trek,253,13957,1,2,1966-09-15,Charlie X,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psychic ability to create anything and destroy anyone.,6.829,41
Star Trek,253,13956,1,3,1966-09-22,Where No Man Has Gone Before,"While exploring the edge of the galaxy, the Enterprise encounters an energy barrier that gives two crewmen godlike powers.",6.974,39
Star Trek,253,13954,1,4,1966-09-29,The Naked Time,"A strange alien substance causes the crew to act out their deepest inhibitions, while the ship plummets out of orbit.",7.179,39
Star Trek,253,13962,1,5,1966-10-06,The Enemy Within,"A transporter malfunction causes Captain Kirk to split into his ""good"" and ""evil"" selves, and a landing party will freeze to death if they don't merge the two back together.",7.4,36
Star Trek,253,13958,1,6,1966-10-13,Mudd's Women,"The Enterprise picks up a intergalactic conman, Harry Mudd, and three incredibly beautiful women who harbor a dark secret.",6.4,33
Star Trek,253,13959,1,7,1966-10-20,What Are Little Girls Made Of?,"Nurse Christine Chapel is reunited with her old fiance on Exo III, but the scientist has plans for Captain Kirk and the Federation.",7.2,32
Star Trek,253,13961,1,8,1966-10-27,Miri,"Kirk and a landing party are stranded on a planet due to a disease that causes any adult to die a painful death, and must deal with the local children who have survived.",7.1,31
Star Trek,253,13960,1,9,1966-11-03,Dagger of the Mind,Kirk investigates an experimental facility for holding prisoners and finds a sinister scheme.,6.9,33
Star Trek,253,13963,1,10,1966-11-10,The Corbomite Maneuver,The Enterprise encounters a vast alien ship that sets out to test them.,7.6,38
Star Trek,253,13982,1,11,1966-11-17,The Menagerie (1),"Spock kidnaps his former captain, the crippled Christopher Pike, and heads for a quarantined planet, putting his career and Kirk's life on the line.",7.8,32
Star Trek,253,13964,1,12,1966-11-24,The Menagerie (2),"Spock's court-martial continues as he attempts to justify his abduction of Pike, the theft of the Enterprise, and his heading for a planet declared forbidden by Starfleet.",7.8,32
Star Trek,253,13968,1,13,1966-12-08,The Conscience of the King,"Kirk is one of the last survivors who can identify a mass killer, who lurks among a Shakespearean troupe aboard the Enterprise.",6.4,28
Star Trek,253,13965,1,14,1966-12-15,Balance of Terror,Kirk pits the Enterprise against an invisible spaceship testing the Federation's defenses.,8.3,34
Star Trek,253,13966,1,15,1966-12-29,Shore Leave,"The Enterprise crew take shore leave on a peaceful, pastoral planet...where their dreams and fantasies come to life.",6.6,30
Star Trek,253,13967,1,16,1967-01-05,The Galileo Seven,Spock  commands a stranded away team when their shuttlecraft is stranded on a planet with hostile natives.,7.2,32
Star Trek,253,13972,1,17,1967-01-12,The Squire of Gothos,The Enterprise finds itself at the mercy of a seemingly omnipotent being who fancies himself a 18th century Englishman.,6.8,32
Star Trek,253,13969,1,18,1967-01-19,Arena,"When a mysterious alien race destroy an Earth colony, the Enterprise pursues but Kirk and the alien captain are forced to fight each other by powerful aliens.",7.4,30
Star Trek,253,13970,1,19,1967-01-26,Tomorrow Is Yesterday,"The Enterprise collides with a black hole and is thrown back to Earth in the 20th century, where they must find a way back and erase any trace of their presence. Matters become complicated when they rescue an Air Force pilot and cannot return him without changing history...but if he disappears that will change history as well.",7.4,30
